14:34:05:680 [ALWAYS]	GUDE Logging Started
14:34:05:681 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:34:05:681 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:34:05:681 [ERROR]	Initialize resume cache pointer failure
14:34:05:681 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:34:05:681 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:34:07:614 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:34:07:614 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:34:07:614 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:34:07:614 [ERROR]	Initialize resume cache pointer failure
14:34:07:614 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:34:07:614 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
